cusip1,cusip2
"37386","82919"
"20491","35957"
"00504","59139"
"24990","13912"
"88368","02364"
"29646","84747"
"10788","19105"
"49976","48338"
"45812","03455"
"46114","59491"
"54568","68269"
"54568","20061"
"21868","91736"
"16714","71920"
"45919","59491"
"50011","91390"
"81717","18049"
"45919","53012"
"83441","98433"
"62008","68389"
"52170","81716"
"03211","88553"
"45970","02364"
"83062","65661"
"83062","86866"
"65661","86866"
"65397","02364"
"31686","45343"
"23776","14948"
"28248","25471"
"14428","81628"
"8190","38316"
"58537","45701"
"53625","75026"
"88553","87401"
"00436","83742"
"21872","26897"
"68236","27352"
"27352","04033"
"05302","97337"
"20491","35944"
"98411","48338"
"13252","52729"
"92343","45727"
"00100","44926"
"97808","89333"
"74452","98370"
"94768","14171"
"28248","78548"
"88553","74163"
"74178","10138"
"23258","92849"
"87150","85920"
"93166","20069"
"92553","44912"
"74961","64114"
"00724","74428"
"74423","07749"
"G2108","47206"
"83474","36119"
"65334","46120"
"26796","02364"
"26796","28551"
"02364","28551"
"69364","92673"
"20478","86207"
"59491","02364"
"68560","26868"
"20491","97651"
"64107","92673"
"88632","04033"
"54568","81996"
"43358","59491"
"G2108","92793"
"92490","31380"
"20491","70962"
"80306","92849"
"46114","04033"
"63984","39271"
"20491","29641"
"59491","46008"
"23250","55921"
"87104","71920"
"87104","77541"
"71920","77541"
"11141","82617"
"62894","52203"
"83485","98431"
"3743","89318"
"42824","68389"
"98936","36491"
"64121","27032"
"22769","73612"
"29377","45727"
"00467","89156"
"98891","20547"
"45677","75657"
"73325","64431"
"26881","31822"
"04033","82617"
"62947","88084"
"46118","20491"
"67003","83187"
"11141","45007"
"46114","09623"
"75954","96683"
"65413","30090"
"65413","55082"
"30090","55082"
"64431","11141"
"86742","82631"
"37193","11130"
"87113","59515"
"83485","98431"
"31182","55081"
"85219","65413"
"87896","86870"
"92895","B5628"
"59491","91873"
"64107","00143"
"78669","20069"
"39119","59491"
"28166","31686"
"87150","45727"
"87150","30687"
"45727","30687"
"20536","92673"
"64114","02143"
"30065","69917"
"87263","25388"
"38870","20563"
"13123","87882"
"59106","45919"
"86572","15691"
"54570","68389"
"54570","69664"
"68389","69664"
"46088","78390"
"46088","20536"
"78390","20536"
"89486","91809"
"59491","45657"
"46575","92552"
"64110","21887"
"18049","92849"
"92824","65530"
"55610","91732"
"96434","67000"
"86671","92209"
"39917","11996"
"86671","83337"
"86671","73612"
"75043","52200"
"59491","M5659"
"93166","45666"
"62886","59497"
"68397","14913"
"90474","55690"
"06714","85509"
"57632","71271"
"27352","82617"
"45681","63942"
"91732","59491"
"68389","76968"
"92897","87939"
"00437","04289"
"92849","55385"
"85491","68376"
"G2108","16965"
"42068","88553"
