prim_cusip,innet,ln_sales,name
"45920",1,11.54859,"IBM"
"59491",1,11.00909,"Microsoft Corp"
"54946",1,10.55331,"Lucent Technologies Inc"
"45715",1,10.44474,"Ingram Micro Inc"
"87182",1,10.31834,"Syscan International Inc"
"29101",1,10.11892,"EmerGeo Solutions Worldwide"
"38259",1,10.07118,"Google Inc"
"87823",1,10.06152,"Tech Data Corp"
"68389",1,10.05419,"Oracle Corp"
"50046",1,9.947192,"Konami Industry Co Ltd"
"28566",1,9.936439,"Electronic Data Systems Corp"
"11012",1,9.872048,"Bristol Technology Inc"
"87316",1,9.747944,"TV onthe WEB Inc"
"80305",1,9.636104,"SAP AG"
"05329",1,9.556261,"Autonomy Corp PLC"
"67034",1,9.449514,"Nucleus Software Exports Ltd"
"78390",1,9.217415,"SAS Institute Inc"
"88031",1,9.214632,"Tendril Networks Inc"
"53245",1,9.201694,"Lilly Software Associates Inc"
"20536",1,9.14545,"Computer Sciences Corp"
"78389",1,9.072794,"SAP America Inc"
"21079",1,8.883779,"Contigo Software"
"98433",1,8.883155,"Yahoo! Inc"
"31996",1,8.864662,"First Data Corp"
"12720",1,8.846082,"Cadcentre Group PLC"
"68268",1,8.801448,"OneMediaPlace"
"87150",1,8.724346,"Symantec Corp"
"97651",1,8.708014,"Wipro Ltd"
"72447",1,8.611263,"Pitney Bowes Inc"
"26864",1,8.601416,"EMC Corp"
"53499",1,8.546557,"Avaya Inc"
"78437",1,8.500649,"STM Corp"
"15087",1,8.434681,"Celetron India Private Ltd"
"45325",1,8.416046,"In Touch Survey Systems Inc"
"88553",1,8.374463,"3Com Corp"
"86736",1,8.371936,"SunGard Data Systems Inc"
"00766",1,8.351911,"Advanced Resources Group Ltd"
"28551",1,8.34593,"Electronic Arts Inc"
"21891",1,8.3446,"Cornerstone Info System Inc"
"46037",1,8.311644,"Indigo Software Inc"
"41387",1,8.242283,"Harris & Jeffries Inc"
"46262",1,8.23658,"iPackets International Inc"
"29284",1,8.220266,"Engenuity Technologies Inc"
"59492",1,8.16549,"Microsystem"
"83437",1,8.066522,"Solution 6 Holdings Ltd"
"12637",1,8.064878,"CSK Corp"
"13890",1,7.96153,"Capcom Co Ltd"
"45030",1,7.893108,"ISS Group Inc"
"85289",1,7.889084,"Square Enix Holdings Co Ltd"
